"No.","Time","Source","Destination","Protocol","Length","Value","Info"
"39569","25479.808420","localhost (Mark's S22 Ultra)","98:da:b0:08:aa:88 (FNB58-052890)","ATT","16","aa8100f4","Sent Write Command, Handle: 0x0015 (Unknown)"
"39571","25479.877374","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","30","aa030e3a003f009ace0000170000000a020c","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39573","25482.631877","localhost (Mark's S22 Ultra)","98:da:b0:08:aa:88 (FNB58-052890)","ATT","16","aa8200a7","Sent Write Command, Handle: 0x0015 (Unknown)"
"39575","25482.809005","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","30","aa060612004800010bf9aa0704f013000078","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39577","25482.943103","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","31","aa060612004800010bf9aa0704ec130000edaa040c55c700000000000000000000bbaa0507999999190144011b","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39578","25483.027552","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","30","aa060610004600010be3aa0704ed13000059","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39580","25483.115979","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","31","aa060610004700010b57aa0704e81301002daa040c54c700000000000000000000ceaa0507999999190144011b","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39582","25483.249133","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","25","aa060612004800010bf9aa0704f1130000ccaa081102c1d50000102a0000100e0000b10000005a","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39583","25483.334040","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","30","aa060612004800010bf9aa0704ef13000031","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39585","25483.422575","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","31","aa060610004700010b57aa0704ea13000074aa040c54c700000000000000000000ceaa0507999999190144011b","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39586","25483.509124","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","30","aa060610004600010be3aa0704e313000003","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39588","25483.643410","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","31","aa060612004800010bf9aa0704ef13000031aa040c4dc70000000000000000000043aa0507999999190144011b","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39590","25483.728770","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","25","aa060612004800010bf9aa0704f413000089aa081102c1d50000102a0000100e0000b10000005a","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39591","25483.814966","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","30","aa060610004700010b57aa0704e313000003","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39593","25483.946630","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","31","aa060610004700010b57aa0704ed13000059aa040c4ac70000000000000000000008aa0507999999190144011b","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39594","25484.034146","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","30","aa060610004600010be3aa0704ec130000ed","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39596","25484.121702","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","31","aa060612004800010bf9aa0704ef13000031aa040c49c70000000000000000000097aa0507999999190144011b","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39598","25484.209758","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","25","aa060610004700010b57aa0704f013000078aa081102c1d50000102a0000100e0000b200000086","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39599","25484.345051","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","30","aa060610004700010b57aa0704f1130000cc","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39601","25484.428697","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","31","aa060612004800010bf9aa0704f013000078aa040c4ac70000000000000000000008aa0507999999190144011b","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39602","25484.515267","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","30","aa060610004600010be3aa0704ed13000059","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39604","25484.646470","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","31","aa060610004700010b57aa0704eb130000c0aa040c4fc700000000000000000000a9aa0507999999190144011b","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39606","25484.735029","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","25","aa060610004700010b57aa0704ef13000031aa081102c1d50000102a0000100e0000b200000086","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39607","25484.821655","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","30","aa060612004800010bf9aa0704f013000078","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39609","25484.910145","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","31","aa060612004800010bf9aa0704f013000078aa040c4fc700000000000000000000a9aa0507999999190144011b","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39610","25485.040725","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","30","aa060610004600010be3aa0704ed13000059","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39612","25485.128907","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","31","aa060610004700010b57aa0704f013000078aa040c50c7000000000000000000001aaa0507999999190144011b","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39614","25485.216781","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","25","aa060612004800010bf9aa0704ec130000edaa081102c1d50000102a0000100e0000b300000032","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39615","25485.346173","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","30","aa060612004800010bf9aa0704ed13000059","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
"39617","25485.434197","98:da:b0:08:aa:88 (FNB58-052890)","localhost (Mark's S22 Ultra)","ATT","31","aa060610004700010b57aa0704f51300003daa040c4fc700000000000000000000a9aa0507999999190144011b","Rcvd Handle Value Notification, Handle: 0x0010 (Unknown: Unknown)"
